DMax NO2,Year,Month,Day,NO2-WEIGHT,Flag,Site Name,Lat,Lng,Date
33.5,2018,2,25,24,0,Los Angeles-North Main Street,34.06659,-118.22688,2/25/2018
35,2018,3,9,24,0,Los Angeles-North Main Street,34.06659,-118.22688,3/9/2018
21.9,2018,3,15,24,0,Los Angeles-North Main Street,34.06659,-118.22688,3/15/2018
21.9,2018,3,15,24,0,Los Angeles-North Main Street,34.06659,-118.22688,3/15/2018
39.9,2018,3,21,24,0,Los Angeles-North Main Street,34.06659,-118.22688,3/21/2018
39.9,2018,3,21,24,0,Los Angeles-North Main Street,34.06659,-118.22688,3/21/2018
43.9,2018,3,27,24,0,Los Angeles-North Main Street,34.06659,-118.22688,3/27/2018
43.9,2018,3,27,24,0,Los Angeles-North Main Street,34.06659,-118.22688,3/27/2018
16.5,2018,4,2,24,0,Los Angeles-North Main Street,34.06659,-118.22688,4/2/2018
28.9,2018,4,8,24,0,Los Angeles-North Main Street,34.06659,-118.22688,4/8/2018
50.8,2018,4,14,24,0,Los Angeles-North Main Street,34.06659,-118.22688,4/14/2018
33.8,2018,4,20,24,0,Los Angeles-North Main Street,34.06659,-118.22688,4/20/2018
25.4,2018,4,26,24,0,Los Angeles-North Main Street,34.06659,-118.22688,4/26/2018
21.2,2018,5,2,24,0,Los Angeles-North Main Street,34.06659,-118.22688,5/2/2018
31.3,2018,5,8,24,0,Los Angeles-North Main Street,34.06659,-118.22688,5/8/2018
23.5,2018,5,14,24,0,Los Angeles-North Main Street,34.06659,-118.22688,5/14/2018
23.5,2018,5,14,24,0,Los Angeles-North Main Street,34.06659,-118.22688,5/14/2018
20.6,2018,5,26,24,0,Los Angeles-North Main Street,34.06659,-118.22688,5/26/2018
31.9,2018,6,1,24,0,Los Angeles-North Main Street,34.06659,-118.22688,6/1/2018
31.9,2018,6,1,24,0,Los Angeles-North Main Street,34.06659,-118.22688,6/1/2018
32.1,2018,6,7,24,0,Los Angeles-North Main Street,34.06659,-118.22688,6/7/2018
32.1,2018,6,7,24,0,Los Angeles-North Main Street,34.06659,-118.22688,6/7/2018
35.6,2018,6,13,24,0,Los Angeles-North Main Street,34.06659,-118.22688,6/13/2018
35.6,2018,6,13,24,0,Los Angeles-North Main Street,34.06659,-118.22688,6/13/2018
19.4,2018,6,19,24,0,Los Angeles-North Main Street,34.06659,-118.22688,6/19/2018
19.4,2018,6,19,24,0,Los Angeles-North Main Street,34.06659,-118.22688,6/19/2018
18.6,2018,6,25,24,0,Los Angeles-North Main Street,34.06659,-118.22688,6/25/2018
18.6,2018,6,25,24,0,Los Angeles-North Main Street,34.06659,-118.22688,6/25/2018
12.1,2018,7,1,24,0,Los Angeles-North Main Street,34.06659,-118.22688,7/1/2018
12.1,2018,7,1,24,0,Los Angeles-North Main Street,34.06659,-118.22688,7/1/2018
41.9,2018,7,7,24,0,Los Angeles-North Main Street,34.06659,-118.22688,7/7/2018
41.9,2018,7,7,24,0,Los Angeles-North Main Street,34.06659,-118.22688,7/7/2018
17.5,2018,7,13,24,0,Los Angeles-North Main Street,34.06659,-118.22688,7/13/2018
17.5,2018,7,13,24,0,Los Angeles-North Main Street,34.06659,-118.22688,7/13/2018
26,2018,7,19,24,0,Los Angeles-North Main Street,34.06659,-118.22688,7/19/2018
26,2018,7,19,24,0,Los Angeles-North Main Street,34.06659,-118.22688,7/19/2018
24.6,2018,7,25,24,0,Los Angeles-North Main Street,34.06659,-118.22688,7/25/2018
24.6,2018,7,25,24,0,Los Angeles-North Main Street,34.06659,-118.22688,7/25/2018
20.4,2018,8,24,24,0,Los Angeles-North Main Street,34.06659,-118.22688,8/24/2018
20.4,2018,8,24,24,0,Los Angeles-North Main Street,34.06659,-118.22688,8/24/2018
30.2,2018,8,30,24,0,Los Angeles-North Main Street,34.06659,-118.22688,8/30/2018
30.2,2018,8,30,24,0,Los Angeles-North Main Street,34.06659,-118.22688,8/30/2018
18.5,2018,9,5,24,0,Los Angeles-North Main Street,34.06659,-118.22688,9/5/2018
18.5,2018,9,5,24,0,Los Angeles-North Main Street,34.06659,-118.22688,9/5/2018
21.5,2018,9,11,24,0,Los Angeles-North Main Street,34.06659,-118.22688,9/11/2018
41.5,2018,9,17,24,0,Los Angeles-North Main Street,34.06659,-118.22688,9/17/2018
41.5,2018,9,17,24,0,Los Angeles-North Main Street,34.06659,-118.22688,9/17/2018
27.4,2018,9,23,24,0,Los Angeles-North Main Street,34.06659,-118.22688,9/23/2018
27.4,2018,9,23,24,0,Los Angeles-North Main Street,34.06659,-118.22688,9/23/2018
15.1,2018,9,29,24,0,Los Angeles-North Main Street,34.06659,-118.22688,9/29/2018
15.1,2018,9,29,24,0,Los Angeles-North Main Street,34.06659,-118.22688,9/29/2018
28.4,2018,10,5,24,0,Los Angeles-North Main Street,34.06659,-118.22688,10/5/2018
28.4,2018,10,5,24,0,Los Angeles-North Main Street,34.06659,-118.22688,10/5/2018
29.9,2018,10,11,24,0,Los Angeles-North Main Street,34.06659,-118.22688,10/11/2018
29.9,2018,10,11,24,0,Los Angeles-North Main Street,34.06659,-118.22688,10/11/2018
46.5,2018,10,17,24,0,Los Angeles-North Main Street,34.06659,-118.22688,10/17/2018
46.5,2018,10,17,24,0,Los Angeles-North Main Street,34.06659,-118.22688,10/17/2018
48.4,2018,10,29,24,0,Los Angeles-North Main Street,34.06659,-118.22688,10/29/2018
42.4,2018,11,4,24,0,Los Angeles-North Main Street,34.06659,-118.22688,11/4/2018
42.4,2018,11,4,24,0,Los Angeles-North Main Street,34.06659,-118.22688,11/4/2018
46.2,2018,11,10,24,0,Los Angeles-North Main Street,34.06659,-118.22688,11/10/2018
46.2,2018,11,10,24,0,Los Angeles-North Main Street,34.06659,-118.22688,11/10/2018
21.2,2018,11,22,24,0,Los Angeles-North Main Street,34.06659,-118.22688,11/22/2018
