DMax NO2,Year,Month,Day,NO2-WEIGHT,Flag,Site Name,LAt,Lng,Date
12.2,2016,7,17,23,0,Millbrook School,35.856111,-78.574167,7/17/2016
6.3,2016,7,20,23,0,Millbrook School,35.856111,-78.574167,7/20/2016
9.2,2016,7,23,23,0,Millbrook School,35.856111,-78.574167,7/23/2016
9.2,2016,7,23,23,0,Millbrook School,35.856111,-78.574167,7/23/2016
10.7,2016,7,26,23,0,Millbrook School,35.856111,-78.574167,7/26/2016
11,2016,8,1,23,0,Millbrook School,35.856111,-78.574167,8/1/2016
3,2016,8,4,19,0,Millbrook School,35.856111,-78.574167,8/4/2016
3,2016,8,4,19,0,Millbrook School,35.856111,-78.574167,8/4/2016
6.8,2016,8,10,23,0,Millbrook School,35.856111,-78.574167,8/10/2016
6.8,2016,8,10,23,0,Millbrook School,35.856111,-78.574167,8/10/2016
5.9,2016,8,13,23,0,Millbrook School,35.856111,-78.574167,8/13/2016
7.3,2016,8,16,23,0,Millbrook School,35.856111,-78.574167,8/16/2016
7.3,2016,8,16,23,0,Millbrook School,35.856111,-78.574167,8/16/2016
8,2016,8,19,23,0,Millbrook School,35.856111,-78.574167,8/19/2016
7.2,2016,8,22,23,0,Millbrook School,35.856111,-78.574167,8/22/2016
7.2,2016,8,22,23,0,Millbrook School,35.856111,-78.574167,8/22/2016
14.6,2016,8,25,23,0,Millbrook School,35.856111,-78.574167,8/25/2016
13.6,2016,8,26,23,0,Millbrook School,35.856111,-78.574167,8/26/2016
9.6,2016,8,31,23,0,Millbrook School,35.856111,-78.574167,8/31/2016
3.3,2016,9,3,23,0,Millbrook School,35.856111,-78.574167,9/3/2016
3.3,2016,9,3,23,0,Millbrook School,35.856111,-78.574167,9/3/2016
20.6,2016,9,6,23,0,Millbrook School,35.856111,-78.574167,9/6/2016
15.5,2016,9,9,23,0,Millbrook School,35.856111,-78.574167,9/9/2016
15.5,2016,9,9,23,0,Millbrook School,35.856111,-78.574167,9/9/2016
2.5,2016,9,21,23,0,Millbrook School,35.856111,-78.574167,9/21/2016
2.5,2016,9,21,23,0,Millbrook School,35.856111,-78.574167,9/21/2016
7.2,2018,1,1,23,0,Millbrook School,35.856111,-78.574167,1/1/2018
33.6,2018,1,2,23,0,Millbrook School,35.856111,-78.574167,1/2/2018
30.3,2018,1,3,23,0,Millbrook School,35.856111,-78.574167,1/3/2018
5.4,2018,1,4,23,0,Millbrook School,35.856111,-78.574167,1/4/2018
18.2,2018,1,5,23,0,Millbrook School,35.856111,-78.574167,1/5/2018
10.1,2018,1,6,23,0,Millbrook School,35.856111,-78.574167,1/6/2018
19.4,2018,1,7,23,0,Millbrook School,35.856111,-78.574167,1/7/2018
