DMax NO2,NO2-WEIGHT,Year,Month,Day,Flag,Site Name,Lat,Lng,Date
21,24,2018,12,25,0,Newark Firehouse,40.720989,-74.192892,12/25/2018
53,24,2018,12,28,0,Newark Firehouse,40.720989,-74.192892,12/28/2018
33.6,20,2018,1,2,0,QUEENS COLLEGE 2,40.73614,-73.82153,1/2/2018
40.2,24,2018,1,8,0,QUEENS COLLEGE 2,40.73614,-73.82153,1/8/2018
15.5,24,2018,1,14,0,QUEENS COLLEGE 2,40.73614,-73.82153,1/14/2018
47.4,24,2018,1,20,0,QUEENS COLLEGE 2,40.73614,-73.82153,1/20/2018
47.2,24,2018,1,26,0,QUEENS COLLEGE 2,40.73614,-73.82153,1/26/2018
45.4,24,2018,2,1,0,QUEENS COLLEGE 2,40.73614,-73.82153,2/1/2018
44.7,24,2018,2,7,0,QUEENS COLLEGE 2,40.73614,-73.82153,2/7/2018
45.7,24,2018,2,13,0,QUEENS COLLEGE 2,40.73614,-73.82153,2/13/2018
36.3,24,2018,2,25,0,QUEENS COLLEGE 2,40.73614,-73.82153,2/25/2018
9.3,24,2018,3,3,0,QUEENS COLLEGE 2,40.73614,-73.82153,3/3/2018
21,24,2018,3,9,0,QUEENS COLLEGE 2,40.73614,-73.82153,3/9/2018
21.5,24,2018,3,15,0,QUEENS COLLEGE 2,40.73614,-73.82153,3/15/2018
16.2,24,2018,3,21,0,QUEENS COLLEGE 2,40.73614,-73.82153,3/21/2018
40.9,24,2018,4,2,0,QUEENS COLLEGE 2,40.73614,-73.82153,4/2/2018
9.4,24,2018,4,8,0,QUEENS COLLEGE 2,40.73614,-73.82153,4/8/2018
35.2,24,2018,4,14,0,QUEENS COLLEGE 2,40.73614,-73.82153,4/14/2018
16.6,21,2018,4,20,0,QUEENS COLLEGE 2,40.73614,-73.82153,4/20/2018
41.2,24,2018,4,26,0,QUEENS COLLEGE 2,40.73614,-73.82153,4/26/2018
38.1,24,2018,5,2,0,QUEENS COLLEGE 2,40.73614,-73.82153,5/2/2018
29.6,24,2018,5,8,0,QUEENS COLLEGE 2,40.73614,-73.82153,5/8/2018
