Ozone AQI,DMax Ozone,OZONE-WEIGHT,Year,Month,Day,Site Name,Lat,Lng,Date
36,0.039,17,2016,11,26,Long Beach (Hudson),33.8025,-118.22,11/26/2016
23,0.025,17,2016,12,2,Long Beach (Hudson),33.8025,-118.22,12/2/2016
23,0.025,17,2016,12,8,Long Beach (Hudson),33.8025,-118.22,12/8/2016
11,0.012,17,2016,12,14,Long Beach (Hudson),33.8025,-118.22,12/14/2016
13,0.014,17,2016,12,20,Long Beach (Hudson),33.8025,-118.22,12/20/2016
28,0.03,17,2016,12,26,Long Beach (Hudson),33.8025,-118.22,12/26/2016
37,0.04,17,2016,1,1,LAX Hastings,33.95507,-118.43049,1/1/2016
40,0.043,17,2016,1,7,LAX Hastings,33.95507,-118.43049,1/7/2016
31,0.033,17,2016,1,13,LAX Hastings,33.95507,-118.43049,1/13/2016
36,0.039,17,2016,1,25,LAX Hastings,33.95507,-118.43049,1/25/2016
40,0.043,17,2016,1,31,LAX Hastings,33.95507,-118.43049,1/31/2016
42,0.045,17,2016,2,6,LAX Hastings,33.95507,-118.43049,2/6/2016
38,0.041,17,2016,2,12,LAX Hastings,33.95507,-118.43049,2/12/2016
43,0.046,17,2016,2,18,LAX Hastings,33.95507,-118.43049,2/18/2016
49,0.053,17,2016,2,24,LAX Hastings,33.95507,-118.43049,2/24/2016
64,0.059,17,2016,3,1,LAX Hastings,33.95507,-118.43049,3/1/2016
44,0.047,17,2016,3,7,LAX Hastings,33.95507,-118.43049,3/7/2016
42,0.045,17,2016,3,13,LAX Hastings,33.95507,-118.43049,3/13/2016
71,0.061,17,2016,3,19,LAX Hastings,33.95507,-118.43049,3/19/2016
100,0.07,17,2016,4,18,LAX Hastings,33.95507,-118.43049,4/18/2016
48,0.052,17,2016,4,24,LAX Hastings,33.95507,-118.43049,4/24/2016
46,0.05,17,2016,4,30,LAX Hastings,33.95507,-118.43049,4/30/2016
38,0.041,17,2016,5,6,LAX Hastings,33.95507,-118.43049,5/6/2016
43,0.046,17,2016,5,18,LAX Hastings,33.95507,-118.43049,5/18/2016
31,0.033,15,2016,5,24,LAX Hastings,33.95507,-118.43049,5/24/2016
44,0.047,17,2016,5,30,LAX Hastings,33.95507,-118.43049,5/30/2016
36,0.039,17,2016,6,5,LAX Hastings,33.95507,-118.43049,6/5/2016
29,0.031,17,2016,6,11,LAX Hastings,33.95507,-118.43049,6/11/2016
47,0.051,17,2016,6,17,LAX Hastings,33.95507,-118.43049,6/17/2016
44,0.047,17,2016,6,23,LAX Hastings,33.95507,-118.43049,6/23/2016
44,0.047,17,2016,6,29,LAX Hastings,33.95507,-118.43049,6/29/2016
42,0.045,17,2016,7,5,LAX Hastings,33.95507,-118.43049,7/5/2016
35,0.038,17,2016,7,11,LAX Hastings,33.95507,-118.43049,7/11/2016
41,0.044,17,2016,7,17,LAX Hastings,33.95507,-118.43049,7/17/2016
39,0.042,17,2016,7,23,LAX Hastings,33.95507,-118.43049,7/23/2016
32,0.035,17,2016,7,29,LAX Hastings,33.95507,-118.43049,7/29/2016
41,0.044,17,2016,8,4,LAX Hastings,33.95507,-118.43049,8/4/2016
35,0.038,17,2016,8,16,LAX Hastings,33.95507,-118.43049,8/16/2016
37,0.04,17,2016,8,28,LAX Hastings,33.95507,-118.43049,8/28/2016
37,0.04,17,2016,9,3,LAX Hastings,33.95507,-118.43049,9/3/2016
42,0.045,17,2016,9,9,LAX Hastings,33.95507,-118.43049,9/9/2016
40,0.043,17,2016,9,15,LAX Hastings,33.95507,-118.43049,9/15/2016
58,0.057,17,2016,9,27,LAX Hastings,33.95507,-118.43049,9/27/2016
42,0.045,17,2016,10,3,LAX Hastings,33.95507,-118.43049,10/3/2016
64,0.059,17,2016,10,9,LAX Hastings,33.95507,-118.43049,10/9/2016
41,0.044,17,2016,10,21,LAX Hastings,33.95507,-118.43049,10/21/2016
27,0.029,17,2016,10,27,LAX Hastings,33.95507,-118.43049,10/27/2016
35,0.038,17,2016,11,2,LAX Hastings,33.95507,-118.43049,11/2/2016
46,0.05,17,2016,11,8,LAX Hastings,33.95507,-118.43049,11/8/2016
41,0.044,17,2016,11,14,LAX Hastings,33.95507,-118.43049,11/14/2016
31,0.033,17,2016,11,20,LAX Hastings,33.95507,-118.43049,11/20/2016
41,0.044,17,2016,11,26,LAX Hastings,33.95507,-118.43049,11/26/2016
42,0.045,17,2016,12,2,LAX Hastings,33.95507,-118.43049,12/2/2016
35,0.038,17,2016,12,8,LAX Hastings,33.95507,-118.43049,12/8/2016
27,0.029,17,2016,12,14,LAX Hastings,33.95507,-118.43049,12/14/2016
22,0.024,17,2016,12,21,LAX Hastings,33.95507,-118.43049,12/21/2016
29,0.031,17,2016,12,26,LAX Hastings,33.95507,-118.43049,12/26/2016
22,0.024,17,2018,1,2,Los Angeles-North Main Street,34.06659,-118.22688,1/2/2018
22,0.024,17,2018,1,2,Los Angeles-North Main Street,34.06659,-118.22688,1/2/2018
16,0.017,17,2018,1,8,Los Angeles-North Main Street,34.06659,-118.22688,1/8/2018
16,0.017,17,2018,1,8,Los Angeles-North Main Street,34.06659,-118.22688,1/8/2018
37,0.04,17,2018,1,14,Los Angeles-North Main Street,34.06659,-118.22688,1/14/2018
37,0.04,17,2018,1,14,Los Angeles-North Main Street,34.06659,-118.22688,1/14/2018
36,0.039,17,2018,1,20,Los Angeles-North Main Street,34.06659,-118.22688,1/20/2018
36,0.039,17,2018,1,20,Los Angeles-North Main Street,34.06659,-118.22688,1/20/2018
31,0.033,17,2018,1,26,Los Angeles-North Main Street,34.06659,-118.22688,1/26/2018
31,0.033,17,2018,1,26,Los Angeles-North Main Street,34.06659,-118.22688,1/26/2018
17,0.018,17,2018,2,1,Los Angeles-North Main Street,34.06659,-118.22688,2/1/2018
17,0.018,17,2018,2,1,Los Angeles-North Main Street,34.06659,-118.22688,2/1/2018
34,0.037,17,2018,2,7,Los Angeles-North Main Street,34.06659,-118.22688,2/7/2018
34,0.037,17,2018,2,7,Los Angeles-North Main Street,34.06659,-118.22688,2/7/2018
34,0.037,17,2018,2,13,Los Angeles-North Main Street,34.06659,-118.22688,2/13/2018
34,0.037,17,2018,2,13,Los Angeles-North Main Street,34.06659,-118.22688,2/13/2018
38,0.041,17,2018,2,19,Los Angeles-North Main Street,34.06659,-118.22688,2/19/2018
38,0.041,17,2018,2,19,Los Angeles-North Main Street,34.06659,-118.22688,2/19/2018
43,0.046,17,2018,2,25,Los Angeles-North Main Street,34.06659,-118.22688,2/25/2018
43,0.046,17,2018,2,25,Los Angeles-North Main Street,34.06659,-118.22688,2/25/2018
27,0.029,17,2018,3,9,Los Angeles-North Main Street,34.06659,-118.22688,3/9/2018
40,0.043,17,2018,3,15,Los Angeles-North Main Street,34.06659,-118.22688,3/15/2018
40,0.043,17,2018,3,15,Los Angeles-North Main Street,34.06659,-118.22688,3/15/2018
21,0.023,17,2018,3,21,Los Angeles-North Main Street,34.06659,-118.22688,3/21/2018
21,0.023,17,2018,3,21,Los Angeles-North Main Street,34.06659,-118.22688,3/21/2018
38,0.041,17,2018,3,27,Los Angeles-North Main Street,34.06659,-118.22688,3/27/2018
38,0.041,17,2018,3,27,Los Angeles-North Main Street,34.06659,-118.22688,3/27/2018
42,0.045,17,2018,4,2,Los Angeles-North Main Street,34.06659,-118.22688,4/2/2018
45,0.049,17,2018,4,8,Los Angeles-North Main Street,34.06659,-118.22688,4/8/2018
