year,month,day,weight,pollutant-name
2015,04,24,10,0.057
2015,04,24,10,0.057
2015,04,24,10,0.057
2015,04,25,23,0.031
2015,04,25,23,0.031
2015,04,25,23,0.031
2015,04,25,23,0.031
2015,04,26,1,0.035
2015,04,26,1,0.035
2015,04,26,1,0.035
2015,04,26,1,0.035
2015,04,27,10,0.051
2015,04,27,10,0.051
2015,04,27,10,0.051
2015,04,27,10,0.051
2015,04,28,10,0.043
2015,04,28,10,0.043
2015,04,28,10,0.043
2015,04,28,10,0.043
2015,04,29,9,0.047
2015,04,29,9,0.047
2015,04,29,9,0.047
2015,04,29,9,0.047
2015,04,30,11,0.047
2015,04,30,11,0.047
2015,04,30,11,0.047
2015,04,30,11,0.047
2015,05,01,9,0.036
2015,05,01,9,0.036
2015,05,01,9,0.036
2015,05,01,9,0.036
2015,05,02,10,0.044
2015,05,02,10,0.044
2015,05,02,10,0.044
2015,05,02,10,0.044
2015,05,03,10,0.054
2015,05,03,10,0.054
2015,05,03,10,0.054
2015,05,03,10,0.054
2015,05,04,10,0.056
2015,05,04,10,0.056
2015,05,04,10,0.056
2015,05,04,10,0.056
2015,05,05,7,0.045
2015,05,05,7,0.045
2015,05,05,7,0.045
2015,05,05,7,0.045
2015,05,06,11,0.056
2015,05,06,11,0.056
2015,05,06,11,0.056
2015,05,06,11,0.056
2015,05,07,12,0.052
2015,05,07,12,0.052
2015,05,07,12,0.052
2015,05,07,12,0.052
2015,05,08,10,0.044
2015,05,08,10,0.044
2015,05,08,10,0.044
2015,05,08,10,0.044
2015,05,09,8,0.038
2015,05,09,8,0.038
2015,05,09,8,0.038
2015,05,09,8,0.038
2015,05,10,9,0.035
2015,05,10,9,0.035
2015,05,10,9,0.035
2015,05,10,9,0.035
2015,05,11,10,0.042
2015,05,11,10,0.042
2015,05,11,10,0.042
2015,05,11,10,0.042
2015,05,12,11,0.049
2015,05,12,11,0.049
2015,05,12,11,0.049
2015,05,12,11,0.049
2015,05,13,10,0.06
2015,05,13,10,0.06
2015,05,13,10,0.06
2015,05,13,10,0.06
2015,05,14,11,0.041
2015,05,14,11,0.041
2015,05,14,11,0.041
2015,05,14,11,0.041
2015,05,15,11,0.046
2015,05,15,11,0.046
2015,05,15,11,0.046
2015,05,15,11,0.046
2015,05,16,10,0.053
2015,05,16,10,0.053
2015,05,16,10,0.053
2015,05,16,10,0.053
2015,05,17,9,0.05
2015,05,17,9,0.05
2015,05,17,9,0.05
2015,05,17,9,0.05
2015,05,18,10,0.049
2015,05,18,10,0.049
2015,05,18,10,0.049
2015,05,18,10,0.049
2015,05,19,9,0.042
2015,05,19,9,0.042
2015,05,19,9,0.042
2015,05,19,9,0.042
2015,05,20,11,0.065
2015,05,20,11,0.065
2015,05,20,11,0.065
2015,05,20,11,0.065
2015,05,21,0,0.045
2015,05,21,0,0.045
2015,05,21,0,0.045
2015,05,21,0,0.045
2015,05,22,11,0.053
2015,05,22,11,0.053
2015,05,22,11,0.053
2015,05,22,11,0.053
2015,05,23,10,0.057
2015,05,23,10,0.057
2015,05,23,10,0.057
2015,05,23,10,0.057
2015,05,24,9,0.058
2015,05,24,9,0.058
2015,05,24,9,0.058
2015,05,24,9,0.058
2015,05,25,8,0.057
2015,05,25,8,0.057
2015,05,25,8,0.057
2015,05,25,8,0.057
2015,05,26,8,0.04
2015,05,26,8,0.04
2015,05,26,8,0.04
2015,05,26,8,0.04
2015,05,27,11,0.04
2015,05,27,11,0.04
2015,05,27,11,0.04
2015,05,27,11,0.04
2015,05,28,10,0.044
2015,05,28,10,0.044
2015,05,28,10,0.044
2015,05,28,10,0.044
2015,05,29,10,0.048
2015,05,29,10,0.048
2015,05,29,10,0.048
2015,05,29,10,0.048
2015,06,02,11,0.041
2015,06,02,11,0.041
2015,06,02,11,0.041
2015,06,02,11,0.041
2015,06,03,9,0.014
2015,06,03,9,0.014
2015,06,03,9,0.014
2015,06,03,9,0.014
2015,06,04,11,0.015
2015,06,04,11,0.015
2015,06,04,11,0.015
2015,06,04,11,0.015
2015,06,05,11,0.025
2015,06,05,11,0.025
2015,06,05,11,0.025
2015,06,05,11,0.025
2015,06,06,11,0.056
2015,06,06,11,0.056
2015,06,06,11,0.056
2015,06,06,11,0.056
2015,06,07,11,0.05
2015,06,07,11,0.05
2015,06,07,11,0.05
2015,06,07,11,0.05
2015,06,08,11,0.05
2015,06,08,11,0.05
2015,06,08,11,0.05
2015,06,08,11,0.05
2015,06,09,11,0.049
2015,06,09,11,0.049
2015,06,09,11,0.049
2015,06,09,11,0.049
2015,06,10,9,0.055
2015,06,10,9,0.055
2015,06,10,9,0.055
2015,06,10,9,0.055
2015,06,11,9,0.046
2015,06,11,9,0.046
2015,06,11,9,0.046
2015,06,11,9,0.046
2015,06,12,9,0.043
2015,06,12,9,0.043
2015,06,12,9,0.043
2015,06,12,9,0.043
2015,06,13,8,0.045
2015,06,13,8,0.045
2015,06,13,8,0.045
2015,06,13,8,0.045
2015,06,14,9,0.036
2015,06,14,9,0.036
2015,06,14,9,0.036
2015,06,14,9,0.036
2015,06,15,12,0.039
2015,06,15,12,0.039
2015,06,15,12,0.039
2015,06,15,12,0.039
2015,06,16,12,0.049
2015,06,16,12,0.049
2015,06,16,12,0.049
2015,06,16,12,0.049
2015,06,17,9,0.049
2015,06,17,9,0.049
2015,06,17,9,0.049
2015,06,17,9,0.049
2015,06,18,10,0.061
2015,06,18,10,0.061
2015,06,18,10,0.061
2015,06,18,10,0.061
2015,06,19,9,0.053
2015,06,19,9,0.053
2015,06,19,9,0.053
2015,06,19,9,0.053
2015,06,20,8,0.039
2015,06,20,8,0.039
2015,06,20,8,0.039
2015,06,20,8,0.039
2015,06,23,9,0.061
2015,06,23,9,0.061
2015,06,23,9,0.061
2015,06,23,9,0.061
2015,06,24,12,0.058
2015,06,24,12,0.058
2015,06,24,12,0.058
2015,06,24,12,0.058
2015,06,25,11,0.056
2015,06,25,11,0.056
2015,06,25,11,0.056
2015,06,25,11,0.056
2015,06,26,8,0.053
2015,06,26,8,0.053
2015,06,26,8,0.053
2015,06,26,8,0.053
2015,06,27,9,0.036
2015,06,27,9,0.036
2015,06,27,9,0.036
2015,06,27,9,0.036
2015,06,28,10,0.051
2015,06,28,10,0.051
2015,06,28,10,0.051
2015,06,28,10,0.051
2015,06,29,10,0.057
2015,06,29,10,0.057
2015,06,29,10,0.057
2015,06,29,10,0.057
2015,06,30,9,0.059
2015,06,30,9,0.059
2015,06,30,9,0.059
2015,06,30,9,0.059
2015,07,01,11,0.055
2015,07,01,11,0.055
2015,07,01,11,0.055
2015,07,01,11,0.055
2015,07,02,10,0.05
2015,07,02,10,0.05
2015,07,02,10,0.05
2015,07,02,10,0.05
