NO2 AQI,DMax NO2,NO2-WEIGHT,Year,Month,Day,Site Name,Lat,Lng,Date
33,35.2,24,2018,4,14,QUEENS COLLEGE 2,40.73614,-73.82153,4/14/2018
15,16.6,21,2018,4,20,QUEENS COLLEGE 2,40.73614,-73.82153,4/20/2018
39,41.2,24,2018,4,26,QUEENS COLLEGE 2,40.73614,-73.82153,4/26/2018
36,38.1,24,2018,5,2,QUEENS COLLEGE 2,40.73614,-73.82153,5/2/2018
27,29.6,24,2018,5,8,QUEENS COLLEGE 2,40.73614,-73.82153,5/8/2018
22,23.2,24,2018,5,14,QUEENS COLLEGE 2,40.73614,-73.82153,5/14/2018
20,21.1,24,2018,5,20,QUEENS COLLEGE 2,40.73614,-73.82153,5/20/2018
34,36.6,24,2018,5,26,QUEENS COLLEGE 2,40.73614,-73.82153,5/26/2018
33,35,24,2018,6,2,QUEENS COLLEGE 2,40.73614,-73.82153,6/2/2018
18,19.7,24,2018,6,7,QUEENS COLLEGE 2,40.73614,-73.82153,6/7/2018
25,27.7,24,2018,6,13,QUEENS COLLEGE 2,40.73614,-73.82153,6/13/2018
13,14.2,19,2018,6,25,QUEENS COLLEGE 2,40.73614,-73.82153,6/25/2018
58,61.1,24,2018,7,1,QUEENS COLLEGE 2,40.73614,-73.82153,7/1/2018
16,17.1,24,2018,7,7,QUEENS COLLEGE 2,40.73614,-73.82153,7/7/2018
25,26.4,24,2018,7,13,QUEENS COLLEGE 2,40.73614,-73.82153,7/13/2018
19,20.6,24,2018,7,19,QUEENS COLLEGE 2,40.73614,-73.82153,7/19/2018
8,8.9,24,2018,7,25,QUEENS COLLEGE 2,40.73614,-73.82153,7/25/2018
35,37.4,24,2018,8,6,QUEENS COLLEGE 2,40.73614,-73.82153,8/6/2018
10,11.8,24,2018,8,12,QUEENS COLLEGE 2,40.73614,-73.82153,8/12/2018
17,18.9,24,2018,8,18,QUEENS COLLEGE 2,40.73614,-73.82153,8/18/2018
16,17.9,24,2018,9,5,QUEENS COLLEGE 2,40.73614,-73.82153,9/5/2018
25,26.1,24,2018,9,11,QUEENS COLLEGE 2,40.73614,-73.82153,9/11/2018
22,23.6,24,2018,9,17,QUEENS COLLEGE 2,40.73614,-73.82153,9/17/2018
8,9.4,24,2018,9,23,QUEENS COLLEGE 2,40.73614,-73.82153,9/23/2018
24,25.2,24,2018,9,29,QUEENS COLLEGE 2,40.73614,-73.82153,9/29/2018
12,13.5,23,2018,10,5,QUEENS COLLEGE 2,40.73614,-73.82153,10/5/2018
27,29.2,24,2018,10,11,QUEENS COLLEGE 2,40.73614,-73.82153,10/11/2018
26,28.5,24,2018,10,17,QUEENS COLLEGE 2,40.73614,-73.82153,10/17/2018
30,32.6,20,2018,10,23,QUEENS COLLEGE 2,40.73614,-73.82153,10/23/2018
20,21.6,24,2018,10,29,QUEENS COLLEGE 2,40.73614,-73.82153,10/29/2018
18,19.6,18,2018,11,10,QUEENS COLLEGE 2,40.73614,-73.82153,11/10/2018
10,11.7,24,2018,11,22,QUEENS COLLEGE 2,40.73614,-73.82153,11/22/2018
16,17.2,24,2018,12,4,QUEENS COLLEGE 2,40.73614,-73.82153,12/4/2018
30,32.4,24,2018,12,10,QUEENS COLLEGE 2,40.73614,-73.82153,12/10/2018
14,15.9,24,2018,12,16,QUEENS COLLEGE 2,40.73614,-73.82153,12/16/2018
18,19.3,24,2018,12,22,QUEENS COLLEGE 2,40.73614,-73.82153,12/22/2018
33,35.6,20,2018,12,28,QUEENS COLLEGE 2,40.73614,-73.82153,12/28/2018
33,35.5,24,2020,1,1,Newark Firehouse,40.720989,-74.192892,1/1/2020
25,27.4,24,2020,1,4,Newark Firehouse,40.720989,-74.192892,1/4/2020
38,40,24,2020,1,7,Newark Firehouse,40.720989,-74.192892,1/7/2020
31,33,24,2020,1,10,Newark Firehouse,40.720989,-74.192892,1/10/2020
34,36.1,20,2020,1,13,Newark Firehouse,40.720989,-74.192892,1/13/2020
27,29.3,24,2020,1,16,Newark Firehouse,40.720989,-74.192892,1/16/2020
22,23.2,21,2020,1,19,Newark Firehouse,40.720989,-74.192892,1/19/2020
37,39.9,24,2020,1,25,Newark Firehouse,40.720989,-74.192892,1/25/2020
14,15.5,24,2020,1,28,Newark Firehouse,40.720989,-74.192892,1/28/2020
48,51.5,24,2020,1,31,Newark Firehouse,40.720989,-74.192892,1/31/2020
51,54.6,24,2020,2,3,Newark Firehouse,40.720989,-74.192892,2/3/2020
34,36,24,2020,2,6,Newark Firehouse,40.720989,-74.192892,2/6/2020
34,36.7,21,2020,2,9,Newark Firehouse,40.720989,-74.192892,2/9/2020
26,28,24,2020,2,12,Newark Firehouse,40.720989,-74.192892,2/12/2020
25,27.9,24,2020,2,15,Newark Firehouse,40.720989,-74.192892,2/15/2020
34,36,24,2020,2,21,Newark Firehouse,40.720989,-74.192892,2/21/2020
50,53.7,24,2020,2,24,Newark Firehouse,40.720989,-74.192892,2/24/2020
16,17,24,2020,2,27,Newark Firehouse,40.720989,-74.192892,2/27/2020
41,43.8,21,2020,3,1,Newark Firehouse,40.720989,-74.192892,3/1/2020
14,15,24,2020,3,4,Newark Firehouse,40.720989,-74.192892,3/4/2020
12,13.5,24,2020,3,7,Newark Firehouse,40.720989,-74.192892,3/7/2020
36,38.2,24,2020,3,10,Newark Firehouse,40.720989,-74.192892,3/10/2020
17,18.6,24,2020,3,16,Newark Firehouse,40.720989,-74.192892,3/16/2020
39,41.3,21,2020,7,5,Newark Firehouse,40.720989,-74.192892,7/5/2020
41,43.4,24,2020,7,8,Newark Firehouse,40.720989,-74.192892,7/8/2020
18,19.6,24,2020,7,11,Newark Firehouse,40.720989,-74.192892,7/11/2020
10,11.9,24,2020,7,14,Newark Firehouse,40.720989,-74.192892,7/14/2020
25,27.3,24,2020,7,17,Newark Firehouse,40.720989,-74.192892,7/17/2020
15,16.1,24,2020,7,20,Newark Firehouse,40.720989,-74.192892,7/20/2020
10,11,24,2020,7,23,Newark Firehouse,40.720989,-74.192892,7/23/2020
17,18.3,21,2020,7,26,Newark Firehouse,40.720989,-74.192892,7/26/2020
24,25.4,24,2020,7,29,Newark Firehouse,40.720989,-74.192892,7/29/2020
29,31.9,24,2020,8,1,Newark Firehouse,40.720989,-74.192892,8/1/2020
22,23,24,2020,8,4,Newark Firehouse,40.720989,-74.192892,8/4/2020
31,33,24,2020,8,7,Newark Firehouse,40.720989,-74.192892,8/7/2020
15,16.1,24,2020,8,10,Newark Firehouse,40.720989,-74.192892,8/10/2020
24,25.1,21,2020,8,13,Newark Firehouse,40.720989,-74.192892,8/13/2020
4,4.8,21,2020,8,16,Newark Firehouse,40.720989,-74.192892,8/16/2020
38,40.8,24,2020,8,19,Newark Firehouse,40.720989,-74.192892,8/19/2020
11,12.1,24,2020,8,22,Newark Firehouse,40.720989,-74.192892,8/22/2020
19,20,24,2020,8,25,Newark Firehouse,40.720989,-74.192892,8/25/2020
21,22.1,24,2020,8,28,Newark Firehouse,40.720989,-74.192892,8/28/2020
21,22.5,24,2020,9,3,Newark Firehouse,40.720989,-74.192892,9/3/2020
12,13.9,21,2020,9,6,Newark Firehouse,40.720989,-74.192892,9/6/2020
25,26.7,24,2020,9,9,Newark Firehouse,40.720989,-74.192892,9/9/2020
12,13.4,24,2020,9,12,Newark Firehouse,40.720989,-74.192892,9/12/2020
29,31.7,24,2020,9,15,Newark Firehouse,40.720989,-74.192892,9/15/2020
14,15.1,24,2020,9,18,Newark Firehouse,40.720989,-74.192892,9/18/2020
29,31.7,24,2020,9,21,Newark Firehouse,40.720989,-74.192892,9/21/2020
42,44.3,24,2020,9,24,Newark Firehouse,40.720989,-74.192892,9/24/2020
16,17.9,21,2020,9,27,Newark Firehouse,40.720989,-74.192892,9/27/2020
16,17,24,2020,9,30,Newark Firehouse,40.720989,-74.192892,9/30/2020
25,27.2,24,2020,10,3,Newark Firehouse,40.720989,-74.192892,10/3/2020
29,31.4,24,2020,10,6,Newark Firehouse,40.720989,-74.192892,10/6/2020
33,35.5,24,2020,10,9,Newark Firehouse,40.720989,-74.192892,10/9/2020
12,13.2,24,2020,10,12,Newark Firehouse,40.720989,-74.192892,10/12/2020
33,35.3,24,2020,10,15,Newark Firehouse,40.720989,-74.192892,10/15/2020
30,32.2,21,2020,10,18,Newark Firehouse,40.720989,-74.192892,10/18/2020
31,33.5,24,2020,10,21,Newark Firehouse,40.720989,-74.192892,10/21/2020
15,16.1,24,2020,10,24,Newark Firehouse,40.720989,-74.192892,10/24/2020
22,23.2,24,2020,10,27,Newark Firehouse,40.720989,-74.192892,10/27/2020
21,22.3,24,2020,10,30,Newark Firehouse,40.720989,-74.192892,10/30/2020
30,32.2,24,2020,11,2,Newark Firehouse,40.720989,-74.192892,11/2/2020
45,48.3,24,2020,11,5,Newark Firehouse,40.720989,-74.192892,11/5/2020
57,60.9,21,2020,11,8,Newark Firehouse,40.720989,-74.192892,11/8/2020
19,20.9,24,2020,11,11,Newark Firehouse,40.720989,-74.192892,11/11/2020
35,37.6,24,2020,11,17,Newark Firehouse,40.720989,-74.192892,11/17/2020
