PM10 AQI,DMean PM10,PM-WEIGHT,Year,Month,Day,Site Name,Lat,Lng,Date
26,28,1,2018,4,20,Los Angeles-North Main Street,34.06659,-118.22688,4/20/2018
31,33,1,2018,4,26,Los Angeles-North Main Street,34.06659,-118.22688,4/26/2018
19,20,1,2018,5,2,Los Angeles-North Main Street,34.06659,-118.22688,5/2/2018
31,33,1,2018,5,8,Los Angeles-North Main Street,34.06659,-118.22688,5/8/2018
21,23,1,2018,5,14,Los Angeles-North Main Street,34.06659,-118.22688,5/14/2018
21,23,1,2018,5,14,Los Angeles-North Main Street,34.06659,-118.22688,5/14/2018
22,24,1,2018,5,26,Los Angeles-North Main Street,34.06659,-118.22688,5/26/2018
27,29,1,2018,6,1,Los Angeles-North Main Street,34.06659,-118.22688,6/1/2018
27,29,1,2018,6,1,Los Angeles-North Main Street,34.06659,-118.22688,6/1/2018
28,30,1,2018,6,7,Los Angeles-North Main Street,34.06659,-118.22688,6/7/2018
28,30,1,2018,6,7,Los Angeles-North Main Street,34.06659,-118.22688,6/7/2018
31,33,1,2018,6,13,Los Angeles-North Main Street,34.06659,-118.22688,6/13/2018
31,33,1,2018,6,13,Los Angeles-North Main Street,34.06659,-118.22688,6/13/2018
26,28,1,2018,6,19,Los Angeles-North Main Street,34.06659,-118.22688,6/19/2018
26,28,1,2018,6,19,Los Angeles-North Main Street,34.06659,-118.22688,6/19/2018
23,25,1,2018,6,25,Los Angeles-North Main Street,34.06659,-118.22688,6/25/2018
23,25,1,2018,6,25,Los Angeles-North Main Street,34.06659,-118.22688,6/25/2018
14,15,1,2018,7,1,Los Angeles-North Main Street,34.06659,-118.22688,7/1/2018
14,15,1,2018,7,1,Los Angeles-North Main Street,34.06659,-118.22688,7/1/2018
44,48,1,2018,7,7,Los Angeles-North Main Street,34.06659,-118.22688,7/7/2018
44,48,1,2018,7,7,Los Angeles-North Main Street,34.06659,-118.22688,7/7/2018
21,23,1,2018,7,13,Los Angeles-North Main Street,34.06659,-118.22688,7/13/2018
21,23,1,2018,7,13,Los Angeles-North Main Street,34.06659,-118.22688,7/13/2018
23,25,1,2018,7,19,Los Angeles-North Main Street,34.06659,-118.22688,7/19/2018
23,25,1,2018,7,19,Los Angeles-North Main Street,34.06659,-118.22688,7/19/2018
38,41,1,2018,7,25,Los Angeles-North Main Street,34.06659,-118.22688,7/25/2018
38,41,1,2018,7,25,Los Angeles-North Main Street,34.06659,-118.22688,7/25/2018
42,45,1,2018,8,24,Los Angeles-North Main Street,34.06659,-118.22688,8/24/2018
42,45,1,2018,8,24,Los Angeles-North Main Street,34.06659,-118.22688,8/24/2018
32,35,1,2018,8,30,Los Angeles-North Main Street,34.06659,-118.22688,8/30/2018
32,35,1,2018,8,30,Los Angeles-North Main Street,34.06659,-118.22688,8/30/2018
19,21,1,2018,9,5,Los Angeles-North Main Street,34.06659,-118.22688,9/5/2018
19,21,1,2018,9,5,Los Angeles-North Main Street,34.06659,-118.22688,9/5/2018
33,36,1,2018,9,11,Los Angeles-North Main Street,34.06659,-118.22688,9/11/2018
33,36,1,2018,9,17,Los Angeles-North Main Street,34.06659,-118.22688,9/17/2018
33,36,1,2018,9,17,Los Angeles-North Main Street,34.06659,-118.22688,9/17/2018
26,28,1,2018,9,23,Los Angeles-North Main Street,34.06659,-118.22688,9/23/2018
26,28,1,2018,9,23,Los Angeles-North Main Street,34.06659,-118.22688,9/23/2018
23,25,1,2018,9,29,Los Angeles-North Main Street,34.06659,-118.22688,9/29/2018
23,25,1,2018,9,29,Los Angeles-North Main Street,34.06659,-118.22688,9/29/2018
19,21,1,2018,10,5,Los Angeles-North Main Street,34.06659,-118.22688,10/5/2018
19,21,1,2018,10,5,Los Angeles-North Main Street,34.06659,-118.22688,10/5/2018
19,20,1,2018,10,11,Los Angeles-North Main Street,34.06659,-118.22688,10/11/2018
19,20,1,2018,10,11,Los Angeles-North Main Street,34.06659,-118.22688,10/11/2018
31,33,1,2018,10,17,Los Angeles-North Main Street,34.06659,-118.22688,10/17/2018
31,33,1,2018,10,17,Los Angeles-North Main Street,34.06659,-118.22688,10/17/2018
57,68,1,2018,10,29,Los Angeles-North Main Street,34.06659,-118.22688,10/29/2018
43,46,1,2018,11,4,Los Angeles-North Main Street,34.06659,-118.22688,11/4/2018
43,46,1,2018,11,4,Los Angeles-North Main Street,34.06659,-118.22688,11/4/2018
51,56,1,2018,11,10,Los Angeles-North Main Street,34.06659,-118.22688,11/10/2018
51,56,1,2018,11,10,Los Angeles-North Main Street,34.06659,-118.22688,11/10/2018
13,14,1,2018,11,22,Los Angeles-North Main Street,34.06659,-118.22688,11/22/2018
25,27,1,2018,11,28,Los Angeles-North Main Street,34.06659,-118.22688,11/28/2018
25,27,1,2018,11,28,Los Angeles-North Main Street,34.06659,-118.22688,11/28/2018
25,27,1,2018,12,10,Los Angeles-North Main Street,34.06659,-118.22688,12/10/2018
31,33,1,2018,12,16,Los Angeles-North Main Street,34.06659,-118.22688,12/16/2018
47,51,1,2018,12,22,Los Angeles-North Main Street,34.06659,-118.22688,12/22/2018
17,18,1,2018,12,28,Los Angeles-North Main Street,34.06659,-118.22688,12/28/2018
17,18,1,2018,12,28,Los Angeles-North Main Street,34.06659,-118.22688,12/28/2018
57,67,1,2018,1,2,Long Beach (Hudson),33.8025,-118.22,1/2/2018
25,27,1,2018,1,8,Long Beach (Hudson),33.8025,-118.22,1/8/2018
25,27,1,2018,1,14,Long Beach (Hudson),33.8025,-118.22,1/14/2018
39,42,1,2018,1,20,Long Beach (Hudson),33.8025,-118.22,1/20/2018
30,32,1,2018,1,26,Long Beach (Hudson),33.8025,-118.22,1/26/2018
56,65,1,2018,2,1,Long Beach (Hudson),33.8025,-118.22,2/1/2018
44,47,1,2018,2,7,Long Beach (Hudson),33.8025,-118.22,2/7/2018
16,17,1,2018,2,13,Long Beach (Hudson),33.8025,-118.22,2/13/2018
65,84,1,2018,2,19,Long Beach (Hudson),33.8025,-118.22,2/19/2018
21,23,1,2018,2,25,Long Beach (Hudson),33.8025,-118.22,2/25/2018
6,7,1,2018,3,3,Long Beach (Hudson),33.8025,-118.22,3/3/2018
18,19,1,2018,3,9,Long Beach (Hudson),33.8025,-118.22,3/9/2018
19,21,1,2018,3,15,Long Beach (Hudson),33.8025,-118.22,3/15/2018
30,32,1,2018,3,27,Long Beach (Hudson),33.8025,-118.22,3/27/2018
19,20,1,2018,4,2,Long Beach (Hudson),33.8025,-118.22,4/2/2018
28,30,1,2018,4,8,Long Beach (Hudson),33.8025,-118.22,4/8/2018
