Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/23/2020,AQS,340410007,3,23,ug/m3 LC,74,Columbia,1,100,88101,PM2.5 - Local Conditions,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
1/24/2020,AQS,340410007,3,22.5,ug/m3 LC,73,Columbia,1,100,88101,PM2.5 - Local Conditions,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
1/25/2020,AQS,340410007,3,7.9,ug/m3 LC,33,Columbia,1,100,88101,PM2.5 - Local Conditions,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
1/26/2020,AQS,340410007,3,4.8,ug/m3 LC,20,Columbia,1,100,88101,PM2.5 - Local Conditions,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
1/27/2020,AQS,340410007,3,3,ug/m3 LC,13,Columbia,1,100,88101,PM2.5 - Local Conditions,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
1/28/2020,AQS,340410007,3,3,ug/m3 LC,13,Columbia,1,100,88101,PM2.5 - Local Conditions,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
1/29/2020,AQS,340410007,3,4.8,ug/m3 LC,20,Columbia,1,100,88101,PM2.5 - Local Conditions,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
1/30/2020,AQS,340410007,3,6.3,ug/m3 LC,26,Columbia,1,100,88101,PM2.5 - Local Conditions,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
1/31/2020,AQS,340410007,3,13.3,ug/m3 LC,54,Columbia,1,100,88101,PM2.5 - Local Conditions,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
2/1/2020,AQS,340410007,3,12.4,ug/m3 LC,52,Columbia,1,100,88101,PM2.5 - Local Conditions,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
2/2/2020,AQS,340410007,3,11,ug/m3 LC,46,Columbia,1,100,88101,PM2.5 - Local Conditions,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
2/5/2020,AQS,340410007,3,4.3,ug/m3 LC,18,Columbia,1,100,88101,PM2.5 - Local Conditions,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
2/6/2020,AQS,340410007,3,5.9,ug/m3 LC,25,Columbia,1,100,88101,PM2.5 - Local Conditions,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
2/7/2020,AQS,340410007,3,3.3,ug/m3 LC,14,Columbia,1,100,88101,PM2.5 - Local Conditions,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
2/8/2020,AQS,340410007,3,5.8,ug/m3 LC,24,Columbia,1,100,88101,PM2.5 - Local Conditions,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
2/9/2020,AQS,340410007,3,10.1,ug/m3 LC,42,Columbia,1,100,88101,PM2.5 - Local Conditions,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
2/10/2020,AQS,340410007,3,9.8,ug/m3 LC,41,Columbia,1,100,88101,PM2.5 - Local Conditions,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
2/11/2020,AQS,340410007,3,7.7,ug/m3 LC,32,Columbia,1,100,88101,PM2.5 - Local Conditions,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
2/12/2020,AQS,340410007,3,7.6,ug/m3 LC,32,Columbia,1,100,88101,PM2.5 - Local Conditions,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
2/13/2020,AQS,340410007,3,5.8,ug/m3 LC,24,Columbia,1,100,88101,PM2.5 - Local Conditions,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
2/14/2020,AQS,340410007,3,7.3,ug/m3 LC,30,Columbia,1,100,88101,PM2.5 - Local Conditions,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
2/15/2020,AQS,340410007,3,4,ug/m3 LC,17,Columbia,1,100,88101,PM2.5 - Local Conditions,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
2/16/2020,AQS,340410007,3,10.5,ug/m3 LC,44,Columbia,1,100,88101,PM2.5 - Local Conditions,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
2/17/2020,AQS,340410007,3,11.2,ug/m3 LC,47,Columbia,1,100,88101,PM2.5 - Local Conditions,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
2/18/2020,AQS,340410007,3,8.2,ug/m3 LC,34,Columbia,1,100,88101,PM2.5 - Local Conditions,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
2/19/2020,AQS,340410007,3,6.5,ug/m3 LC,27,Columbia,1,100,88101,PM2.5 - Local Conditions,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
2/20/2020,AQS,340410007,3,5.2,ug/m3 LC,22,Columbia,1,100,88101,PM2.5 - Local Conditions,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
2/21/2020,AQS,340410007,3,3.9,ug/m3 LC,16,Columbia,1,100,88101,PM2.5 - Local Conditions,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
2/22/2020,AQS,340410007,3,7.8,ug/m3 LC,33,Columbia,1,100,88101,PM2.5 - Local Conditions,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
2/23/2020,AQS,340410007,3,12.9,ug/m3 LC,53,Columbia,1,100,88101,PM2.5 - Local Conditions,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
2/24/2020,AQS,340410007,3,15,ug/m3 LC,57,Columbia,1,100,88101,PM2.5 - Local Conditions,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
2/25/2020,AQS,340410007,3,13.5,ug/m3 LC,54,Columbia,1,100,88101,PM2.5 - Local Conditions,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
2/26/2020,AQS,340410007,3,14.1,ug/m3 LC,55,Columbia,1,100,88101,PM2.5 - Local Conditions,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
2/27/2020,AQS,340410007,3,2.9,ug/m3 LC,12,Columbia,1,100,88101,PM2.5 - Local Conditions,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
2/28/2020,AQS,340410007,3,4.5,ug/m3 LC,19,Columbia,1,100,88101,PM2.5 - Local Conditions,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
2/29/2020,AQS,340410007,3,5.3,ug/m3 LC,22,Columbia,1,100,88101,PM2.5 - Local Conditions,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
3/1/2020,AQS,340410007,3,6,ug/m3 LC,25,Columbia,1,100,88101,PM2.5 - Local Conditions,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
3/2/2020,AQS,340410007,3,11.7,ug/m3 LC,49,Columbia,1,100,88101,PM2.5 - Local Conditions,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
3/3/2020,AQS,340410007,3,9.8,ug/m3 LC,41,Columbia,1,100,88101,PM2.5 - Local Conditions,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
3/4/2020,AQS,340410007,3,4.8,ug/m3 LC,20,Columbia,1,100,88101,PM2.5 - Local Conditions,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
3/5/2020,AQS,340410007,3,7.2,ug/m3 LC,30,Columbia,1,100,88101,PM2.5 - Local Conditions,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
3/6/2020,AQS,340410007,3,12.7,ug/m3 LC,52,Columbia,1,100,88101,PM2.5 - Local Conditions,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
3/7/2020,AQS,340410007,3,5.4,ug/m3 LC,23,Columbia,1,100,88101,PM2.5 - Local Conditions,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
3/8/2020,AQS,340410007,3,5.7,ug/m3 LC,24,Columbia,1,100,88101,PM2.5 - Local Conditions,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
3/9/2020,AQS,340410007,3,9.7,ug/m3 LC,40,Columbia,1,100,88101,PM2.5 - Local Conditions,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
3/10/2020,AQS,340410007,3,10.2,ug/m3 LC,43,Columbia,1,100,88101,PM2.5 - Local Conditions,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
3/11/2020,AQS,340410007,3,5.7,ug/m3 LC,24,Columbia,1,100,88101,PM2.5 - Local Conditions,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
3/12/2020,AQS,340410007,3,8.4,ug/m3 LC,35,Columbia,1,100,88101,PM2.5 - Local Conditions,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
3/13/2020,AQS,340410007,3,5.5,ug/m3 LC,23,Columbia,1,100,88101,PM2.5 - Local Conditions,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
3/14/2020,AQS,340410007,3,4.5,ug/m3 LC,19,Columbia,1,100,88101,PM2.5 - Local Conditions,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
3/15/2020,AQS,340410007,3,4.3,ug/m3 LC,18,Columbia,1,100,88101,PM2.5 - Local Conditions,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
3/16/2020,AQS,340410007,3,4.8,ug/m3 LC,20,Columbia,1,100,88101,PM2.5 - Local Conditions,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
3/17/2020,AQS,340410007,3,5.6,ug/m3 LC,23,Columbia,1,100,88101,PM2.5 - Local Conditions,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
3/18/2020,AQS,340410007,3,7.9,ug/m3 LC,33,Columbia,1,100,88101,PM2.5 - Local Conditions,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
3/19/2020,AQS,340410007,3,6.1,ug/m3 LC,25,Columbia,1,100,88101,PM2.5 - Local Conditions,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
3/20/2020,AQS,340410007,3,7.2,ug/m3 LC,30,Columbia,1,100,88101,PM2.5 - Local Conditions,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
3/21/2020,AQS,340410007,3,5.7,ug/m3 LC,24,Columbia,1,100,88101,PM2.5 - Local Conditions,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
3/22/2020,AQS,340410007,3,5.3,ug/m3 LC,22,Columbia,1,100,88101,PM2.5 - Local Conditions,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
