D-AQI,DMean PM10,PM10 AQI,PM-WEIGHT,DMax NO2,NO2 AQI,NO2-WEIGHT,DMax Ozone,Ozone AQI,OZONE-WEIGHT,DMax SO2,SO2 AQI,SO2-WEIGHT,DMax CO,CO AQI,CO-WEIGHT,Year,Month,Day,Site Name,Lat,Lng,Date
,29,27,1,37.4,35,24,0.071,101,17,0.8,0,24,0.4,5,24,2018,08,06,QUEENS COLLEGE 2,40.73614,-73.82153,8/6/2018
,12,11,1,11.8,10,24,0.048,44,17,0,0,24,0.3,3,24,2018,08,12,QUEENS COLLEGE 2,40.73614,-73.82153,8/12/2018
,14,13,1,18.9,17,24,0.047,44,17,0.3,0,24,0.3,3,24,2018,08,18,QUEENS COLLEGE 2,40.73614,-73.82153,8/18/2018
,17,16,1,17.9,16,24,0.051,47,17,0.7,0,24,0.3,3,24,2018,09,05,QUEENS COLLEGE 2,40.73614,-73.82153,9/5/2018
,11,10,1,26.1,25,24,0.01,9,17,0.3,0,24,0.5,6,24,2018,09,11,QUEENS COLLEGE 2,40.73614,-73.82153,9/11/2018
,13,12,1,23.6,22,24,0.027,25,17,0.5,0,24,0.3,3,24,2018,09,17,QUEENS COLLEGE 2,40.73614,-73.82153,9/17/2018
,8,7,1,9.4,8,24,0.023,21,17,0,0,24,0.2,2,24,2018,09,23,QUEENS COLLEGE 2,40.73614,-73.82153,9/23/2018
,12,11,1,25.2,24,24,0.037,34,17,0.7,0,24,0.6,7,24,2018,09,29,QUEENS COLLEGE 2,40.73614,-73.82153,9/29/2018
,13,12,1,13.5,12,23,0.028,26,17,0.1,0,24,0.4,5,18,2018,10,05,QUEENS COLLEGE 2,40.73614,-73.82153,10/5/2018
,13,12,1,29.2,27,24,0.018,17,17,0.4,0,24,0.3,3,24,2018,10,11,QUEENS COLLEGE 2,40.73614,-73.82153,10/11/2018
,9,8,1,28.5,26,24,0.028,26,17,3,4,24,0.3,3,24,2018,10,17,QUEENS COLLEGE 2,40.73614,-73.82153,10/17/2018
,11,10,1,32.6,30,20,0.029,27,17,1.8,1,24,0.4,5,24,2018,10,23,QUEENS COLLEGE 2,40.73614,-73.82153,10/23/2018
,6,6,1,21.6,20,24,0.023,21,17,2.2,3,21,0.3,3,24,2018,10,29,QUEENS COLLEGE 2,40.73614,-73.82153,10/29/2018
,4,4,1,19.6,18,18,0.029,27,17,0.5,0,24,0.2,2,24,2018,11,10,QUEENS COLLEGE 2,40.73614,-73.82153,11/10/2018
,4,4,1,11.7,10,24,0.031,29,17,2.5,3,24,0.2,2,24,2018,11,22,QUEENS COLLEGE 2,40.73614,-73.82153,11/22/2018
,2,2,1,17.2,16,24,0.026,24,17,3,4,24,0.3,3,12,2018,12,04,QUEENS COLLEGE 2,40.73614,-73.82153,12/4/2018
