D-AQI,DMean PM10,PM10 AQI,PM-WEIGHT,DMax NO2,NO2 AQI,NO2-WEIGHT,DMax Ozone,Ozone AQI,OZONE-WEIGHT,DMax SO2,SO2 AQI,SO2-WEIGHT,DMax CO,CO AQI,CO-WEIGHT,Year,Month,Day,Site Name,LAt,Lng,Date
,11,10,1,20.8,19,23,0.027,25,17,1.7,1,24,0.2,2,24,2020,08,25,SEATTLE - BEACON HILL,47.568236,-122.308628,8/25/2020
,7,6,1,8.9,8,24,0.027,25,17,0.9,0,24,0.2,2,24,2020,08,28,SEATTLE - BEACON HILL,47.568236,-122.308628,8/28/2020
,6,6,1,26.5,25,24,0.029,27,17,1,1,24,0.2,2,24,2020,08,31,SEATTLE - BEACON HILL,47.568236,-122.308628,8/31/2020
,9,8,1,19,18,24,0.028,26,17,1.7,1,22,0.2,2,24,2020,09,03,SEATTLE - BEACON HILL,47.568236,-122.308628,9/3/2020
,12,11,1,39,37,23,0.027,25,17,1.4,1,24,0.3,3,24,2020,09,06,SEATTLE - BEACON HILL,47.568236,-122.308628,9/6/2020
,38,35,1,34.5,32,24,0.057,58,17,1.5,1,24,0.4,5,24,2020,09,09,SEATTLE - BEACON HILL,47.568236,-122.308628,9/9/2020
,46,43,1,24.9,23,23,0.014,13,17,1.5,1,24,0.8,9,24,2020,09,18,SEATTLE - BEACON HILL,47.568236,-122.308628,9/18/2020
,10,9,1,23.9,22,24,0.021,19,17,2.9,3,24,0.5,6,24,2020,09,21,SEATTLE - BEACON HILL,47.568236,-122.308628,9/21/2020
,8,7,1,12.3,11,24,0.026,24,17,0.9,0,24,0.2,2,24,2020,09,24,SEATTLE - BEACON HILL,47.568236,-122.308628,9/24/2020
,7,6,1,12,11,24,0.029,27,17,0.9,0,22,0.2,2,24,2020,09,27,SEATTLE - BEACON HILL,47.568236,-122.308628,9/27/2020
,19,18,1,38.3,36,23,0.002,2,17,4.7,6,24,0.5,6,24,2020,09,30,SEATTLE - BEACON HILL,47.568236,-122.308628,9/30/2020
,15,14,1,23.3,22,24,0.01,9,17,2.2,3,24,0.4,5,24,2020,10,03,SEATTLE - BEACON HILL,47.568236,-122.308628,10/3/2020
,13,12,1,15.6,14,24,0.017,16,17,1.6,1,24,0.3,3,24,2020,10,06,SEATTLE - BEACON HILL,47.568236,-122.308628,10/6/2020
,8,7,1,15.6,14,24,0.023,21,17,1.3,1,22,0.2,2,24,2020,10,09,SEATTLE - BEACON HILL,47.568236,-122.308628,10/9/2020
,8,7,1,16.8,15,23,0.031,29,17,1.1,1,24,0.2,2,24,2020,10,12,SEATTLE - BEACON HILL,47.568236,-122.308628,10/12/2020
,12,11,1,33.3,31,24,0.023,21,17,1.2,1,24,0.3,3,24,2020,10,15,SEATTLE - BEACON HILL,47.568236,-122.308628,10/15/2020
,5,5,1,14.6,13,24,0.026,24,17,1.3,1,24,0.3,3,24,2020,10,18,SEATTLE - BEACON HILL,47.568236,-122.308628,10/18/2020
,9,8,1,18.4,17,23,0.026,24,17,1.1,1,21,0.3,3,22,2020,10,21,SEATTLE - BEACON HILL,47.568236,-122.308628,10/21/2020
,9,8,1,9.8,8,23,0.028,26,17,0.9,0,24,0.2,2,21,2020,10,24,SEATTLE - BEACON HILL,47.568236,-122.308628,10/24/2020
,13,12,1,23.2,22,22,0.017,16,13,2,3,22,0.4,5,24,2020,10,27,SEATTLE - BEACON HILL,47.568236,-122.308628,10/27/2020
,7,6,1,20,19,24,0.033,31,17,1.1,1,24,0.2,2,24,2020,11,08,SEATTLE - BEACON HILL,47.568236,-122.308628,11/8/2020
,7,6,1,14.7,13,24,0.013,12,17,1.1,1,24,0.3,3,24,2020,11,11,SEATTLE - BEACON HILL,47.568236,-122.308628,11/11/2020
,6,6,1,11.7,10,24,0.029,27,17,1.1,1,22,0.2,2,24,2020,11,14,SEATTLE - BEACON HILL,47.568236,-122.308628,11/14/2020
,5,5,1,22.2,21,23,0.034,31,17,2.1,3,24,0.3,3,24,2020,11,17,SEATTLE - BEACON HILL,47.568236,-122.308628,11/17/2020
,7,6,1,24.5,23,24,0.017,16,17,1.9,1,24,0.3,3,24,2020,11,20,SEATTLE - BEACON HILL,47.568236,-122.308628,11/20/2020
,8,7,1,22.4,21,24,0.015,14,17,1.1,1,24,0.3,3,24,2020,11,23,SEATTLE - BEACON HILL,47.568236,-122.308628,11/23/2020
,6,6,1,15.8,14,24,0.024,22,17,0.9,0,22,0.3,3,24,2020,11,26,SEATTLE - BEACON HILL,47.568236,-122.308628,11/26/2020
,11,10,1,23.5,22,23,0.01,9,17,3.4,4,24,0.5,6,24,2020,11,29,SEATTLE - BEACON HILL,47.568236,-122.308628,11/29/2020
,10,9,1,35.2,33,24,0.012,11,17,3.8,4,24,0.4,5,24,2020,12,02,SEATTLE - BEACON HILL,47.568236,-122.308628,12/2/2020
,13,12,1,23.5,22,24,0.027,25,17,2,3,24,0.5,6,24,2020,12,05,SEATTLE - BEACON HILL,47.568236,-122.308628,12/5/2020
,4,4,1,20,19,24,0.029,27,17,1.6,1,22,0.2,2,24,2020,12,08,SEATTLE - BEACON HILL,47.568236,-122.308628,12/8/2020
,8,7,1,27.1,25,24,0.025,23,15,1.3,1,24,0.3,3,24,2020,12,14,SEATTLE - BEACON HILL,47.568236,-122.308628,12/14/2020
,6,6,1,9.7,8,24,0.027,25,17,1.1,1,21,0.2,2,24,2020,12,17,SEATTLE - BEACON HILL,47.568236,-122.308628,12/17/2020
,7,6,1,21.7,20,24,0.034,31,17,0.2,0,22,0.3,3,24,2020,12,20,SEATTLE - BEACON HILL,47.568236,-122.308628,12/20/2020
,5,5,1,12.8,11,24,0.033,31,13,0.1,0,24,0.2,2,24,2020,12,26,SEATTLE - BEACON HILL,47.568236,-122.308628,12/26/2020
,13,12,1,21.5,20,24,0.004,4,15,0.8,0,24,0.5,6,24,2020,12,29,SEATTLE - BEACON HILL,47.568236,-122.308628,12/29/2020
