D-AQI,PM10 AQI,NO2 AQI,Ozone AQI,SO2 AQI,CO AQI,PM-WEIGHT,DMax NO2,NO2-WEIGHT,DMax Ozone,OZONE-WEIGHT,DMax SO2,SO2-WEIGHT,DMax CO,CO-WEIGHT,Year,Month,Day,Site Name,Lat,Lng,Date
2,14,2,37,0,2,1,2.2,24,0.04,17,0.4,24,0.2,24,2016,9,12,Cheyenne NCore,41.18222711,-104.7783342,9/12/2016
4,9,4,21,0,1,1,4.8,23,0.023,17,0,23,0.1,24,2016,9,13,Cheyenne NCore,41.18222711,-104.7783342,9/13/2016
7,11,7,33,0,1,1,7.2,24,0.036,17,0.1,24,0.1,24,2016,9,14,Cheyenne NCore,41.18222711,-104.7783342,9/14/2016
16,7,16,44,0,1,1,17.5,23,0.047,17,0.2,23,0.1,24,2016,9,17,Cheyenne NCore,41.18222711,-104.7783342,9/17/2016
3,19,3,38,0,2,1,3.9,23,0.041,17,0.1,23,0.2,24,2016,9,21,Cheyenne NCore,41.18222711,-104.7783342,9/21/2016
8,15,8,30,0,2,1,9.2,24,0.032,17,0,24,0.2,24,2016,9,22,Cheyenne NCore,41.18222711,-104.7783342,9/22/2016
8,18,8,46,0,2,1,8.9,23,0.05,17,0.4,23,0.2,24,2016,9,23,Cheyenne NCore,41.18222711,-104.7783342,9/23/2016
7,6,7,37,0,1,1,7.1,24,0.04,17,0.2,24,0.1,24,2016,9,24,Cheyenne NCore,41.18222711,-104.7783342,9/24/2016
14,6,14,41,0,1,1,15.7,22,0.044,17,-0.2,22,0.1,24,2016,9,25,Cheyenne NCore,41.18222711,-104.7783342,9/25/2016
9,8,9,37,0,1,1,10.1,24,0.04,17,0.1,24,0.1,24,2016,9,26,Cheyenne NCore,41.18222711,-104.7783342,9/26/2016
5,6,5,37,0,1,1,5.9,23,0.04,17,0,23,0.1,24,2016,9,27,Cheyenne NCore,41.18222711,-104.7783342,9/27/2016
6,12,6,34,0,1,1,6.9,24,0.037,17,0.6,24,0.1,24,2016,9,28,Cheyenne NCore,41.18222711,-104.7783342,9/28/2016
