Ozone AQI,Year,Month,Day,OZONE-WEIGHT,Flag
35,2020,2,8,17,0
30,2020,2,9,17,0
31,2020,2,10,17,0
33,2020,2,20,17,0
39,2020,2,21,17,0
34,2020,2,22,17,0
33,2020,2,23,17,0
34,2020,2,24,17,0
32,2020,2,25,17,0
32,2020,2,26,17,0
35,2020,2,27,17,0
32,2020,2,28,17,0
33,2020,2,29,17,0
30,2020,3,1,17,0
36,2020,3,2,17,0
31,2020,3,3,17,0
36,2020,3,4,17,0
27,2020,3,5,17,0
37,2020,3,6,17,0
24,2020,3,7,24,0
19,2020,3,14,17,0
26,2020,3,15,17,0
21,2020,3,16,17,0
24,2020,3,17,17,0
29,2020,3,18,17,0
31,2020,3,19,17,0
32,2020,3,20,17,0
38,2020,3,21,17,0
38,2020,3,22,17,0
37,2020,3,24,17,0
37,2020,3,25,17,0
34,2020,3,26,17,0
33,2020,3,27,17,0
37,2020,3,28,17,0
38,2020,3,29,17,0
34,2020,3,30,17,0
37,2020,3,31,17,0
35,2020,4,1,17,0
30,2020,4,2,17,0
33,2020,4,3,17,0
36,2020,4,4,17,0
37,2020,4,5,17,0
41,2020,4,6,17,0
38,2020,4,7,17,0
36,2020,4,9,17,0
40,2020,4,10,17,0
40,2020,4,11,17,0
32,2020,4,12,17,0
35,2020,4,13,17,0
37,2020,4,14,17,0
31,2020,4,15,17,0
37,2020,4,16,17,0
38,2020,4,17,17,0
36,2020,4,18,17,0
36,2020,4,19,17,0
39,2020,4,20,17,0
44,2020,4,21,17,0
39,2020,4,22,17,0
35,2020,4,23,18,0
33,2020,4,24,17,0
39,2020,4,25,17,0
33,2020,4,26,17,0
39,2020,4,27,17,0
41,2020,4,28,17,0
43,2020,4,29,17,0
35,2020,4,30,17,0
36,2020,5,1,17,0
31,2020,5,2,17,0
38,2020,5,3,17,0
42,2020,5,4,17,0
46,2020,5,5,17,0
44,2020,5,6,17,0
50,2020,5,7,17,0
39,2020,5,8,17,0
33,2020,5,9,17,0
38,2020,5,10,17,0
27,2020,5,11,17,0
31,2020,5,12,17,0
39,2020,5,13,17,0
42,2020,5,16,17,0
42,2020,5,17,17,0
46,2020,5,18,17,0
58,2020,5,19,17,0
48,2020,5,20,17,0
49,2020,5,21,17,0
67,2020,5,22,17,0
46,2020,5,23,17,0
30,2020,5,24,17,0
35,2020,5,25,17,0
26,2020,5,27,17,0
28,2020,5,28,17,0
40,2020,5,29,17,0
37,2020,5,30,17,0
32,2020,5,31,17,0
32,2020,6,1,17,0
33,2020,6,2,17,0
29,2020,6,3,17,0
30,2020,6,4,17,0
36,2020,6,5,17,0
30,2020,6,6,17,0
37,2020,6,7,17,0
33,2020,6,8,17,0
28,2020,6,9,17,0
26,2020,6,10,17,0
42,2020,6,12,17,0
39,2020,6,13,17,0
41,2020,6,14,17,0
41,2020,6,15,17,0
41,2020,6,16,19,0
32,2020,6,17,17,0
28,2020,6,18,17,0
28,2020,6,19,17,0
31,2020,6,20,17,0
24,2020,6,21,17,0
30,2020,6,22,17,0
27,2020,6,24,17,0
27,2020,6,25,17,0
29,2020,6,26,17,0
36,2020,6,27,17,0
30,2020,6,28,17,0
34,2020,6,29,17,0
32,2020,6,30,17,0
38,2020,7,1,17,0
36,2020,7,2,17,0
31,2020,7,3,17,0
29,2020,7,4,17,0
31,2020,7,5,17,0
32,2020,7,6,17,0
31,2020,7,7,17,0
34,2020,7,8,17,0
35,2020,7,9,17,0
42,2020,7,10,17,0
36,2020,7,11,17,0
31,2020,7,12,17,0
29,2020,7,13,17,0
31,2020,7,14,17,0
30,2020,7,15,17,0
37,2020,7,16,17,0
32,2020,7,17,17,0
30,2020,7,18,17,0
32,2020,7,19,17,0
31,2020,7,20,17,0
44,2020,7,22,17,0
33,2020,7,23,17,0
31,2020,7,24,17,0
34,2020,7,25,17,0
32,2020,7,26,17,0
40,2020,7,27,15,0
34,2020,7,28,17,0
33,2020,7,29,24,0
7,2020,8,25,24,0
11,2020,8,26,24,0
32,2020,8,27,19,0
48,2020,8,28,17,0
50,2020,8,29,17,0
61,2020,8,30,17,0
46,2020,8,31,17,0
43,2020,9,2,14,0
48,2020,9,3,17,0
25,2020,9,9,17,0
34,2020,9,10,17,0
42,2020,9,11,17,0
44,2020,9,12,17,0
47,2020,9,13,17,0
58,2020,9,14,17,0
49,2020,9,15,17,0
51,2020,9,16,17,0
64,2020,9,17,17,0
87,2020,9,18,17,0
58,2020,9,19,17,0
50,2020,9,20,17,0
49,2020,9,21,17,0
61,2020,9,22,17,0
50,2020,9,23,17,0
61,2020,9,24,17,0
47,2020,9,25,17,0
41,2020,9,27,17,0
39,2020,9,29,17,0
41,2020,9,30,17,0
43,2020,10,1,17,0
46,2020,10,2,17,0
42,2020,10,3,17,0
67,2020,10,8,17,0
48,2020,10,9,17,0
50,2020,10,10,17,0
46,2020,10,11,17,0
46,2020,10,12,17,0
43,2020,10,13,17,0
39,2020,10,14,17,0
37,2020,10,15,17,0
36,2020,10,16,17,0
28,2020,10,17,17,0
19,2020,10,18,17,0
32,2020,10,19,17,0
35,2020,10,20,17,0
37,2020,10,21,17,0
29,2020,10,22,17,0
26,2020,10,23,17,0
30,2020,10,24,17,0
34,2020,10,25,17,0
48,2020,10,26,17,0
51,2020,10,27,17,0
40,2020,10,28,17,0
33,2020,10,29,17,0
36,2020,10,30,17,0
37,2020,10,31,17,0
39,2020,11,1,17,0
41,2020,11,2,17,0
37,2020,11,3,17,0
39,2020,11,4,17,0
36,2020,11,6,17,0
31,2020,11,7,17,0
47,2020,11,8,17,0
25,2020,11,9,17,0
36,2020,11,10,17,0
40,2020,11,11,17,0
37,2020,11,12,17,0
42,2020,11,13,17,0
38,2020,11,14,17,0
36,2020,11,15,17,0
35,2020,11,16,17,0
32,2020,11,17,17,0
35,2020,11,19,17,0
35,2020,11,20,17,0
37,2020,11,21,17,0
33,2020,11,22,17,0
36,2020,11,23,17,0
40,2020,11,25,17,0
32,2020,11,26,17,0
31,2020,11,27,17,0
37,2020,11,28,17,0
36,2020,11,29,17,0
41,2020,11,30,17,0
46,2020,12,3,17,0
41,2020,12,4,17,0
39,2020,12,5,17,0
37,2020,12,6,17,0
39,2020,12,7,17,0
39,2020,12,8,17,0
40,2020,12,9,17,0
29,2020,12,10,17,0
37,2020,12,11,17,0
31,2020,12,12,17,0
31,2020,12,13,17,0
39,2020,12,14,17,0
37,2020,12,15,14,0
37,2020,12,16,17,0
37,2020,12,17,17,0
35,2020,12,18,17,0
41,2020,12,19,17,0
40,2020,12,20,17,0
31,2020,12,21,17,0
36,2020,12,22,17,0
35,2020,12,23,17,0
39,2020,12,24,17,0
38,2020,12,25,17,0
39,2020,12,26,17,0
34,2020,12,27,17,0
29,2020,12,28,17,0
41,2020,12,30,17,0
